movieId,title,genres,country
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,USA
2,Jumanji (1995),Adventure|Children|Fantasy,USA
3,Grumpier Old Men (1995),Comedy|Romance,USA
4,Waiting to Exhale (1995),Comedy|Drama|Romance,USA
5,Father of the Bride Part II (1995),Comedy,USA
6,Heat (1995),Action|Crime|Thriller,USA
7,Sabrina (1995),Comedy|Romance,Germany|USA
8,Tom and Huck (1995),Adventure|Children,USA
9,Sudden Death (1995),Action,USA
10,GoldenEye (1995),Action|Adventure|Thriller,UK|USA
11,"American President, The (1995)",Comedy|Drama|Romance,USA
12,Dracula: Dead and Loving It (1995),Comedy|Horror,USA|France
13,Balto (1995),Adventure|Animation|Children,USA
14,Nixon (1995),Drama,USA
15,Cutthroat Island (1995),Action|Adventure|Romance,USA|France|Italy|Germany
16,Casino (1995),Crime|Drama,France|USA
17,Sense and Sensibility (1995),Drama|Romance,USA|UK
18,Four Rooms (1995),Comedy,USA
19,Ace Ventura: When Nature Calls (1995),Comedy,USA
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,USA
21,Get Shorty (1995),Comedy|Crime|Thriller,USA
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,USA
23,Assassins (1995),Action|Crime|Thriller,France|USA
24,Powder (1995),Drama|Sci-Fi,USA
25,Leaving Las Vegas (1995),Drama|Romance,USA
26,Othello (1995),Drama,USA|UK
27,Now and Then (1995),Children|Drama,USA
28,Persuasion (1995),Drama|Romance,UK|USA|France
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,France|Germany|Spain
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,France|China
31,Dangerous Minds (1995),Drama,USA
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,USA
33,Wings of Courage (1995),Adventure|Romance|IMAX,USA|France
34,Babe (1995),Children|Drama,Australia|USA
35,Carrington (1995),Drama|Romance,UK|France
36,Dead Man Walking (1995),Crime|Drama,UK|USA
37,Across the Sea of Time (1995),Documentary|IMAX,USA
38,It Takes Two (1995),Children|Comedy,USA
39,Clueless (1995),Comedy|Romance,USA
40,"Cry, the Beloved Country (1995)",Drama,South Africa|USA
41,Richard III (1995),Drama|War,UK|USA
42,Dead Presidents (1995),Action|Crime|Drama,USA
43,Restoration (1995),Drama,USA|UK
44,Mortal Kombat (1995),Action|Adventure|Fantasy,USA
45,To Die For (1995),Comedy|Drama|Thriller,USA|UK|Canada
46,How to Make an American Quilt (1995),Drama|Romance,USA
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,USA
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,USA
49,When Night Is Falling (1995),Drama|Romance,Canada
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,USA|Germany
51,Guardian Angel (1994),Action|Drama|Thriller,USA
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,USA
53,Lamerica (1994),Adventure|Drama,Italy|France|Switzerland|Austria
54,"Big Green, The (1995)",Children|Comedy,USA
55,Georgia (1995),Drama,USA|France
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,USA|Canada
57,Home for the Holidays (1995),Drama,USA
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Italy|France|Belgium
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,Canada|UK|France
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,USA
61,Eye for an Eye (1996),Drama|Thriller,USA
62,Mr. Holland's Opus (1995),Drama,USA
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,USA
64,Two if by Sea (1996),Comedy|Romance,USA
65,Bio-Dome (1996),Comedy,USA
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,USA
67,Two Bits (1995),Drama,USA
68,French Twist (Gazon maudit) (1995),Comedy|Romance,France
69,Friday (1995),Comedy,USA
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,USA
71,Fair Game (1995),Action,USA
72,Kicking and Screaming (1995),Comedy|Drama,USA
73,"Misérables, Les (1995)",Drama|War,France
74,Bed of Roses (1996),Drama|Romance,USA
75,Big Bully (1996),Comedy|Drama,USA
76,Screamers (1995),Action|Sci-Fi|Thriller,Canada|USA|Japan
77,Nico Icon (1995),Documentary,Germany|USA
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,USA
79,"Juror, The (1996)",Drama|Thriller,USA
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Iran
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,USA
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Netherlands|Belgium|UK|France
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,USA
84,Last Summer in the Hamptons (1995),Comedy|Drama,USA
85,Angels and Insects (1995),Drama|Romance,UK|USA
86,White Squall (1996),Action|Adventure|Drama,USA|UK
87,Dunston Checks In (1996),Children|Comedy,USA
88,Black Sheep (1996),Comedy,USA
89,Nick of Time (1995),Action|Thriller,USA
90,"Journey of August King, The (1995)",Drama,USA
92,Mary Reilly (1996),Drama|Horror|Thriller,USA|UK
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,USA
94,Beautiful Girls (1996),Comedy|Drama|Romance,USA
95,Broken Arrow (1996),Action|Adventure|Thriller,USA
96,In the Bleak Midwinter (1995),Comedy|Drama,UK
97,"Hate (Haine, La) (1995)",Crime|Drama,France
98,Shopping (1994),Action|Thriller,UK|Japan
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,UK|Germany|USA|Canada
100,City Hall (1996),Drama|Thriller,USA
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,USA
102,Mr. Wrong (1996),Comedy,USA
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,USA
104,Happy Gilmore (1996),Comedy,USA
105,"Bridges of Madison County, The (1995)",Drama|Romance,USA
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Germany
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,USA
108,Catwalk (1996),Documentary,USA
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,USA
110,Braveheart (1995),Action|Drama|War,USA
111,Taxi Driver (1976),Crime|Drama|Thriller,USA
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Hong Kong
113,Before and After (1996),Drama|Mystery,USA
114,Margaret's Museum (1995),Drama,Canada|UK
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,France
116,Anne Frank Remembered (1995),Documentary,UK|USA|Netherlands
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,UK|Germany|France
118,If Lucy Fell (1996),Comedy|Romance,USA
119,"Steal Big, Steal Little (1995)",Comedy,USA
120,Race the Sun (1996),Adventure|Comedy|Drama,USA
121,"Boys of St. Vincent, The (1992)",Drama,Canada
122,Boomerang (1992),Comedy|Romance,USA
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Hong Kong
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,Italy
125,Flirting With Disaster (1996),Comedy,USA
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Germany|USA
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,Tunisia|France
128,Jupiter's Wife (1994),Documentary,USA
129,Pie in the Sky (1996),Comedy|Romance,USA
130,Angela (1995),Drama,USA
131,Frankie Starlight (1995),Drama|Romance,France|UK|Ireland|USA
132,Jade (1995),Thriller,USA
133,Nueba Yol (1995),Comedy|Drama,Dominican Republic
134,Sonic Outlaws (1995),Documentary,USA
135,Down Periscope (1996),Comedy,USA
136,From the Journals of Jean Seberg (1995),Documentary,USA
137,Man of the Year (1995),Documentary,USA|UK
138,"Neon Bible, The (1995)",Drama,UK
139,Target (1995),Action|Drama,India
140,Up Close and Personal (1996),Drama|Romance,USA
141,"Birdcage, The (1996)",Comedy,USA
142,Shadows (Cienie) (1988),Drama,Poland
143,Gospa (1995),Drama,Croatia|Canada|USA
144,"Brothers McMullen, The (1995)",Comedy,USA
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,USA
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,USA
147,"Basketball Diaries, The (1995)",Drama,USA
148,"Awfully Big Adventure, An (1995)",Drama,UK
149,Amateur (1994),Crime|Drama|Thriller,USA|UK|France
150,Apollo 13 (1995),Adventure|Drama|IMAX,USA
151,Rob Roy (1995),Action|Drama|Romance|War,USA|UK
152,"Addiction, The (1995)",Drama|Horror,USA|Argentina
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,USA
154,Beauty of the Day (Belle de jour) (1967),Drama,France|Italy
155,Beyond Rangoon (1995),Adventure|Drama|War,UK|USA
156,Blue in the Face (1995),Comedy|Drama,USA
157,Canadian Bacon (1995),Comedy|War,USA
158,Casper (1995),Adventure|Children,USA
159,Clockers (1995),Crime|Drama|Mystery,USA
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,USA
161,Crimson Tide (1995),Drama|Thriller|War,USA
162,Crumb (1994),Documentary,USA
163,Desperado (1995),Action|Romance|Western,USA
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,USA
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,USA
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,USA|France
167,Feast of July (1995),Drama,USA|UK
168,First Knight (1995),Action|Drama|Romance,USA|UK
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,France|USA
170,Hackers (1995),Action|Adventure|Crime|Thriller,USA
171,Jeffrey (1995),Comedy|Drama,USA
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Canada|USA
173,Judge Dredd (1995),Action|Crime|Sci-Fi,USA
174,Jury Duty (1995),Comedy,USA
175,Kids (1995),Drama,USA
176,Living in Oblivion (1995),Comedy,USA
177,Lord of Illusions (1995),Horror,USA
178,Love & Human Remains (1993),Comedy|Drama,Canada
179,Mad Love (1995),Drama|Romance,USA
180,Mallrats (1995),Comedy|Romance,USA
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,USA|Japan|Australia
182,Moonlight and Valentino (1995),Drama|Romance,UK|USA
183,Mute Witness (1994),Comedy|Horror|Thriller,Russia|UK|Germany
184,Nadja (1994),Drama,USA
185,"Net, The (1995)",Action|Crime|Thriller,USA
186,Nine Months (1995),Comedy|Romance,USA
187,Party Girl (1995),Comedy,USA
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,USA
189,Reckless (1995),Comedy|Fantasy,USA
190,Safe (1995),Thriller,UK|USA
191,"Scarlet Letter, The (1995)",Drama|Romance,USA
192,"Show, The (1995)",Documentary,USA
193,Showgirls (1995),Drama,France|USA
194,Smoke (1995),Comedy|Drama,Germany|Japan|USA
195,Something to Talk About (1995),Comedy|Drama|Romance,USA
196,Species (1995),Horror|Sci-Fi,USA
197,"Stars Fell on Henrietta, The (1995)",Drama,USA
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,USA
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,France|West Germany
200,"Tie That Binds, The (1995)",Thriller,USA
201,Three Wishes (1995),Drama|Fantasy,USA
202,Total Eclipse (1995),Drama|Romance,UK|France|Belgium
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,USA
204,Under Siege 2: Dark Territory (1995),Action,USA
205,Unstrung Heroes (1995),Comedy|Drama,USA
206,Unzipped (1995),Documentary,USA
207,"Walk in the Clouds, A (1995)",Drama|Romance,USA|Mexico
208,Waterworld (1995),Action|Adventure|Sci-Fi,USA
209,White Man's Burden (1995),Drama,France|USA
210,Wild Bill (1995),Western,USA
211,"Browning Version, The (1994)",Drama,UK
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,USA
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Russia|France
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Republic of Macedonia|France|UK
215,Before Sunrise (1995),Drama|Romance,USA|Austria|Switzerland
216,Billy Madison (1995),Comedy,USA
217,"Babysitter, The (1995)",Drama|Thriller,USA
218,Boys on the Side (1995),Comedy|Drama,USA|France
219,"Cure, The (1995)",Drama,USA
220,Castle Freak (1995),Horror,USA
222,Circle of Friends (1995),Drama|Romance,Ireland|USA|UK
223,Clerks (1994),Comedy,USA
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,USA
225,Disclosure (1994),Drama|Thriller,USA
